角色名,外文名,性别,立绘编号,文件名,文件链接,势力logo,出处,星级,内部编号,职业,分支,势力,出身地,上线时间,时装品牌,时装名
崖心,Cliffheart,女性,skin1,立绘_崖心_skin1.png,https://media.prts.wiki/0/0d/%E7%AB%8B%E7%BB%98_%E5%B4%96%E5%BF%83_skin1.png,谢拉格,方舟干员,5,JC06,特种,钩索师,谢拉格,谢拉格,2019-04-30,生命之地,孤攀客
崖心,Cliffheart,女性,skin2,立绘_崖心_skin2.png,https://media.prts.wiki/a/a0/%E7%AB%8B%E7%BB%98_%E5%B4%96%E5%BF%83_skin2.png,谢拉格,方舟干员,5,JC06,特种,钩索师,谢拉格,谢拉格,2019-04-30,合作款,高原访客
嵯峨,Saga,女性,1,立绘_嵯峨_1.png,https://media.prts.wiki/4/40/%E7%AB%8B%E7%BB%98_%E5%B5%AF%E5%B3%A8_1.png,东,方舟干员,6,HK13,先锋,尖兵,东,东国,2021-02-05,,
嵯峨,Saga,女性,2,立绘_嵯峨_2.png,https://media.prts.wiki/9/9c/%E7%AB%8B%E7%BB%98_%E5%B5%AF%E5%B3%A8_2.png,东,方舟干员,6,HK13,先锋,尖兵,东,东国,2021-02-05,,
嵯峨,Saga,女性,skin0,立绘_嵯峨_skin0.png,https://media.prts.wiki/a/ab/%E7%AB%8B%E7%BB%98_%E5%B5%AF%E5%B3%A8_skin0.png,东,方舟干员,6,HK13,先锋,尖兵,东,东国,2021-02-05,,
嵯峨,Saga,女性,skin1,立绘_嵯峨_skin1.png,https://media.prts.wiki/2/2d/%E7%AB%8B%E7%BB%98_%E5%B5%AF%E5%B3%A8_skin1.png,东,方舟干员,6,HK13,先锋,尖兵,东,东国,2021-02-05,忒斯特收藏,彼有
巡林者,Rangers,男性,1,立绘_巡林者_1.png,https://media.prts.wiki/c/c8/%E7%AB%8B%E7%BB%98_%E5%B7%A1%E6%9E%97%E8%80%85_1.png,行动组A4,方舟干员,2,A42,狙击,速射手,行动组A4,未公开,2019-04-30,,
左乐,Zuo Le,男性,1,立绘_左乐_1.png,https://media.prts.wiki/6/64/%E7%AB%8B%E7%BB%98_%E5%B7%A6%E4%B9%90_1.png,炎,方舟干员,6,YD06,近卫,武者,炎,炎,2024-02-01,,
左乐,Zuo Le,男性,2,立绘_左乐_2.png,https://media.prts.wiki/7/7a/%E7%AB%8B%E7%BB%98_%E5%B7%A6%E4%B9%90_2.png,炎,方舟干员,6,YD06,近卫,武者,炎,炎,2024-02-01,,
左乐,Zuo Le,男性,skin1,立绘_左乐_skin1.png,https://media.prts.wiki/c/ce/%E7%AB%8B%E7%BB%98_%E5%B7%A6%E4%B9%90_skin1.png,炎,方舟干员,6,YD06,近卫,武者,炎,炎,2024-02-01,0011™制造,少年游
左乐,Zuo Le,男性,skin2,立绘_左乐_skin2.png,https://media.prts.wiki/0/0b/%E7%AB%8B%E7%BB%98_%E5%B7%A6%E4%B9%90_skin2.png,炎,方舟干员,6,YD06,近卫,武者,炎,炎,2024-02-01,忒斯特收藏,无息破局
巫恋,Shamare,女性,1,立绘_巫恋_1.png,https://media.prts.wiki/e/e3/%E7%AB%8B%E7%BB%98_%E5%B7%AB%E6%81%8B_1.png,叙拉古,方舟干员,5,R148,辅助,削弱者,叙拉古,叙拉古,2020-04-21,,
巫恋,Shamare,女性,2,立绘_巫恋_2.png,https://media.prts.wiki/6/65/%E7%AB%8B%E7%BB%98_%E5%B7%AB%E6%81%8B_2.png,叙拉古,方舟干员,5,R148,辅助,削弱者,叙拉古,叙拉古,2020-04-21,,
巫恋,Shamare,女性,skin1,立绘_巫恋_skin1.png,https://media.prts.wiki/1/19/%E7%AB%8B%E7%BB%98_%E5%B7%AB%E6%81%8B_skin1.png,叙拉古,方舟干员,5,R148,辅助,削弱者,叙拉古,叙拉古,2020-04-21,巫异盛宴,魔城回响
巫恋,Shamare,女性,skin2,立绘_巫恋_skin2.png,https://media.prts.wiki/1/16/%E7%AB%8B%E7%BB%98_%E5%B7%AB%E6%81%8B_skin2.png,叙拉古,方舟干员,5,R148,辅助,削弱者,叙拉古,叙拉古,2020-04-21,0011-韵系列,绣云鹤
布丁,Pudding,女性,1,立绘_布丁_1.png,https://media.prts.wiki/3/30/%E7%AB%8B%E7%BB%98_%E5%B8%83%E4%B8%81_1.png,哥伦比亚,方舟干员,4,CB03,术师,链术师,哥伦比亚,哥伦比亚,2021-11-01,,
布丁,Pudding,女性,2,立绘_布丁_2.png,https://media.prts.wiki/e/ed/%E7%AB%8B%E7%BB%98_%E5%B8%83%E4%B8%81_2.png,哥伦比亚,方舟干员,4,CB03,术师,链术师,哥伦比亚,哥伦比亚,2021-11-01,,
布丁,Pudding,女性,skin1,立绘_布丁_skin1.png,https://media.prts.wiki/a/a6/%E7%AB%8B%E7%BB%98_%E5%B8%83%E4%B8%81_skin1.png,哥伦比亚,方舟干员,4,CB03,术师,链术师,哥伦比亚,哥伦比亚,2021-11-01,冰原信使,火树灵
布洛卡,Broca,男性,1,立绘_布洛卡_1.png,https://media.prts.wiki/1/1c/%E7%AB%8B%E7%BB%98_%E5%B8%83%E6%B4%9B%E5%8D%A1_1.png,贾维团伙,方舟干员,5,SR27,近卫,强攻手,贾维团伙,叙拉古,2019-12-10,,
布洛卡,Broca,男性,2,立绘_布洛卡_2.png,https://media.prts.wiki/f/fb/%E7%AB%8B%E7%BB%98_%E5%B8%83%E6%B4%9B%E5%8D%A1_2.png,贾维团伙,方舟干员,5,SR27,近卫,强攻手,贾维团伙,叙拉古,2019-12-10,,
布洛卡,Broca,男性,skin1,立绘_布洛卡_skin1.png,https://media.prts.wiki/b/b3/%E7%AB%8B%E7%BB%98_%E5%B8%83%E6%B4%9B%E5%8D%A1_skin1.png,贾维团伙,方舟干员,5,SR27,近卫,强攻手,贾维团伙,叙拉古,2019-12-10,玛尔特,组间休息
帕拉斯,Pallas,女性,1,立绘_帕拉斯_1.png,https://media.prts.wiki/e/ef/%E7%AB%8B%E7%BB%98_%E5%B8%95%E6%8B%89%E6%96%AF_1.png,米诺斯,方舟干员,6,MN04,近卫,教官,米诺斯,米诺斯,2021-07-02,,
帕拉斯,Pallas,女性,2,立绘_帕拉斯_2.png,https://media.prts.wiki/e/ea/%E7%AB%8B%E7%BB%98_%E5%B8%95%E6%8B%89%E6%96%AF_2.png,米诺斯,方舟干员,6,MN04,近卫,教官,米诺斯,米诺斯,2021-07-02,,
帕拉斯,Pallas,女性,skin1,立绘_帕拉斯_skin1.png,https://media.prts.wiki/3/3e/%E7%AB%8B%E7%BB%98_%E5%B8%95%E6%8B%89%E6%96%AF_skin1.png,米诺斯,方舟干员,6,MN04,近卫,教官,米诺斯,米诺斯,2021-07-02,时代,传承
帕拉斯,Pallas,女性,skin2,立绘_帕拉斯_skin2.png,https://media.prts.wiki/7/7a/%E7%AB%8B%E7%BB%98_%E5%B8%95%E6%8B%89%E6%96%AF_skin2.png,米诺斯,方舟干员,6,MN04,近卫,教官,米诺斯,米诺斯,2021-07-02,时代,山川的酿造
年,Nian,女性,1,立绘_年_1.png,https://media.prts.wiki/c/c9/%E7%AB%8B%E7%BB%98_%E5%B9%B4_1.png,炎-岁,方舟干员,6,NM01,重装,铁卫,炎-岁,炎,2020-01-16,,
年,Nian,女性,2,立绘_年_2.png,https://media.prts.wiki/1/15/%E7%AB%8B%E7%BB%98_%E5%B9%B4_2.png,炎-岁,方舟干员,6,NM01,重装,铁卫,炎-岁,炎,2020-01-16,,
年,Nian,女性,skin1,立绘_年_skin1.png,https://media.prts.wiki/6/6f/%E7%AB%8B%E7%BB%98_%E5%B9%B4_skin1.png,炎-岁,方舟干员,6,NM01,重装,铁卫,炎-岁,炎,2020-01-16,0011™制造,乐逍遥
年,Nian,女性,skin2,立绘_年_skin2.png,https://media.prts.wiki/4/41/%E7%AB%8B%E7%BB%98_%E5%B9%B4_skin2.png,炎-岁,方舟干员,6,NM01,重装,铁卫,炎-岁,炎,2020-01-16,合作款,霹雳导演
幽灵鲨,Specter,女性,1,立绘_幽灵鲨_1.png,https://media.prts.wiki/5/50/%E7%AB%8B%E7%BB%98_%E5%B9%BD%E7%81%B5%E9%B2%A8_1.png,深海猎人,方舟干员,5,AA02,近卫,强攻手,深海猎人,阿戈尔,2019-04-30,,
幽灵鲨,Specter,女性,2,立绘_幽灵鲨_2.png,https://media.prts.wiki/d/d3/%E7%AB%8B%E7%BB%98_%E5%B9%BD%E7%81%B5%E9%B2%A8_2.png,深海猎人,方舟干员,5,AA02,近卫,强攻手,深海猎人,阿戈尔,2019-04-30,,
幽灵鲨,Specter,女性,skin1,立绘_幽灵鲨_skin1.png,https://media.prts.wiki/0/08/%E7%AB%8B%E7%BB%98_%E5%B9%BD%E7%81%B5%E9%B2%A8_skin1.png,深海猎人,方舟干员,5,AA02,近卫,强攻手,深海猎人,阿戈尔,2019-04-30,寒武纪™系列,暗流
异客,Passenger,男性,1,立绘_异客_1.png,https://media.prts.wiki/1/16/%E7%AB%8B%E7%BB%98_%E5%BC%82%E5%AE%A2_1.png,萨尔贡,方舟干员,6,SG07,术师,链术师,萨尔贡,哥伦比亚,2021-04-15,,
异客,Passenger,男性,2,立绘_异客_2.png,https://media.prts.wiki/3/3f/%E7%AB%8B%E7%BB%98_%E5%BC%82%E5%AE%A2_2.png,萨尔贡,方舟干员,6,SG07,术师,链术师,萨尔贡,哥伦比亚,2021-04-15,,
异客,Passenger,男性,skin1,立绘_异客_skin1.png,https://media.prts.wiki/7/74/%E7%AB%8B%E7%BB%98_%E5%BC%82%E5%AE%A2_skin1.png,萨尔贡,方舟干员,6,SG07,术师,链术师,萨尔贡,哥伦比亚,2021-04-15,时代,今昔须臾之梦
弑君者,Crownslayer,女性,1,立绘_弑君者_1.png,https://media.prts.wiki/6/69/%E7%AB%8B%E7%BB%98_%E5%BC%91%E5%90%9B%E8%80%85_1.png,罗德岛,方舟干员,6,R315,特种,处决者,罗德岛,乌萨斯,2024-11-01,,
弑君者,Crownslayer,女性,2,立绘_弑君者_2.png,https://media.prts.wiki/b/bc/%E7%AB%8B%E7%BB%98_%E5%BC%91%E5%90%9B%E8%80%85_2.png,罗德岛,方舟干员,6,R315,特种,处决者,罗德岛,乌萨斯,2024-11-01,,
弑君者,Crownslayer,女性,skin1,立绘_弑君者_skin1.png,https://media.prts.wiki/e/e0/%E7%AB%8B%E7%BB%98_%E5%BC%91%E5%90%9B%E8%80%85_skin1.png,罗德岛,方舟干员,6,R315,特种,处决者,罗德岛,乌萨斯,2024-11-01,命途迭代,夜之终局
引星棘刺,Thorns the Lodestar,男性,1,立绘_引星棘刺_1.png,https://media.prts.wiki/c/c1/%E7%AB%8B%E7%BB%98_%E5%BC%95%E6%98%9F%E6%A3%98%E5%88%BA_1.png,伊比利亚,方舟干员,6,II02,特种,炼金师,伊比利亚,伊比利亚,2024-12-05,,
引星棘刺,Thorns the Lodestar,男性,2,立绘_引星棘刺_2.png,https://media.prts.wiki/b/bf/%E7%AB%8B%E7%BB%98_%E5%BC%95%E6%98%9F%E6%A3%98%E5%88%BA_2.png,伊比利亚,方舟干员,6,II02,特种,炼金师,伊比利亚,伊比利亚,2024-12-05,,
引星棘刺,Thorns the Lodestar,男性,skin1,立绘_引星棘刺_skin1.png,https://media.prts.wiki/f/f3/%E7%AB%8B%E7%BB%98_%E5%BC%95%E6%98%9F%E6%A3%98%E5%88%BA_skin1.png,伊比利亚,方舟干员,6,II02,特种,炼金师,伊比利亚,伊比利亚,2024-12-05,玛尔特,无际之帆
归溟幽灵鲨,Specter the Unchained,女性,1,立绘_归溟幽灵鲨_1.png,https://media.prts.wiki/f/fc/%E7%AB%8B%E7%BB%98_%E5%BD%92%E6%BA%9F%E5%B9%BD%E7%81%B5%E9%B2%A8_1.png,深海猎人,方舟干员,6,CR02,特种,傀儡师,深海猎人,阿戈尔,2022-05-01,,
归溟幽灵鲨,Specter the Unchained,女性,2,立绘_归溟幽灵鲨_2.png,https://media.prts.wiki/1/16/%E7%AB%8B%E7%BB%98_%E5%BD%92%E6%BA%9F%E5%B9%BD%E7%81%B5%E9%B2%A8_2.png,深海猎人,方舟干员,6,CR02,特种,傀儡师,深海猎人,阿戈尔,2022-05-01,,
归溟幽灵鲨,Specter the Unchained,女性,skin1,立绘_归溟幽灵鲨_skin1.png,https://media.prts.wiki/0/0d/%E7%AB%8B%E7%BB%98_%E5%BD%92%E6%BA%9F%E5%B9%BD%E7%81%B5%E9%B2%A8_skin1.png,深海猎人,方舟干员,6,CR02,特种,傀儡师,深海猎人,阿戈尔,2022-05-01,斗争血脉,生而为一
录武官,Record Keeper,男性,1,立绘_录武官_1.png,https://media.prts.wiki/b/bf/%E7%AB%8B%E7%BB%98_%E5%BD%95%E6%AD%A6%E5%AE%98_1.png,炎,方舟干员,5,YD26,医疗,医师,炎,炎,2025-07-08,,
录武官,Record Keeper,男性,2,立绘_录武官_2.png,https://media.prts.wiki/8/8a/%E7%AB%8B%E7%BB%98_%E5%BD%95%E6%AD%A6%E5%AE%98_2.png,炎,方舟干员,5,YD26,医疗,医师,炎,炎,2025-07-08,,
微风,Breeze,女性,1,立绘_微风_1.png,https://media.prts.wiki/e/e7/%E7%AB%8B%E7%BB%98_%E5%BE%AE%E9%A3%8E_1.png,维多利亚,方舟干员,5,R132,医疗,群愈师,维多利亚,维多利亚,2019-11-01,,
微风,Breeze,女性,2,立绘_微风_2.png,https://media.prts.wiki/0/01/%E7%AB%8B%E7%BB%98_%E5%BE%AE%E9%A3%8E_2.png,维多利亚,方舟干员,5,R132,医疗,群愈师,维多利亚,维多利亚,2019-11-01,,
微风,Breeze,女性,skin1,立绘_微风_skin1.png,https://media.prts.wiki/0/0b/%E7%AB%8B%E7%BB%98_%E5%BE%AE%E9%A3%8E_skin1.png,维多利亚,方舟干员,5,R132,医疗,群愈师,维多利亚,维多利亚,2019-11-01,待予花冠,半甜草莓
德克萨斯,Texas,女性,1,立绘_德克萨斯_1.png,https://media.prts.wiki/f/fc/%E7%AB%8B%E7%BB%98_%E5%BE%B7%E5%85%8B%E8%90%A8%E6%96%AF_1.png,企鹅物流,方舟干员,5,PL02,先锋,尖兵,企鹅物流,哥伦比亚,2019-04-30,,
德克萨斯,Texas,女性,2,立绘_德克萨斯_2.png,https://media.prts.wiki/f/fc/%E7%AB%8B%E7%BB%98_%E5%BE%B7%E5%85%8B%E8%90%A8%E6%96%AF_2.png,企鹅物流,方舟干员,5,PL02,先锋,尖兵,企鹅物流,哥伦比亚,2019-04-30,,
德克萨斯,Texas,女性,skin1,立绘_德克萨斯_skin1.png,https://media.prts.wiki/1/1f/%E7%AB%8B%E7%BB%98_%E5%BE%B7%E5%85%8B%E8%90%A8%E6%96%AF_skin1.png,企鹅物流,方舟干员,5,PL02,先锋,尖兵,企鹅物流,哥伦比亚,2019-04-30,寒武纪™系列,寒冬信使
德克萨斯,Texas,女性,skin2,立绘_德克萨斯_skin2.png,https://media.prts.wiki/2/2b/%E7%AB%8B%E7%BB%98_%E5%BE%B7%E5%85%8B%E8%90%A8%E6%96%AF_skin2.png,企鹅物流,方舟干员,5,PL02,先锋,尖兵,企鹅物流,哥伦比亚,2019-04-30,时代,意志
忍冬,Vulpisfoglia,女性,1,立绘_忍冬_1.png,https://media.prts.wiki/c/ca/%E7%AB%8B%E7%BB%98_%E5%BF%8D%E5%86%AC_1.png,叙拉古,方舟干员,6,SR40,先锋,尖兵,叙拉古,叙拉古,2024-11-01,,
忍冬,Vulpisfoglia,女性,2,立绘_忍冬_2.png,https://media.prts.wiki/0/02/%E7%AB%8B%E7%BB%98_%E5%BF%8D%E5%86%AC_2.png,叙拉古,方舟干员,6,SR40,先锋,尖兵,叙拉古,叙拉古,2024-11-01,,
怒潮凛冬,Zima the Raging Tide,女性,1,立绘_怒潮凛冬_1.png,https://media.prts.wiki/4/42/%E7%AB%8B%E7%BB%98_%E6%80%92%E6%BD%AE%E5%87%9B%E5%86%AC_1.png,乌萨斯学生自治团,方舟干员,6,USS0,近卫,撼地者,乌萨斯学生自治团,乌萨斯,2026-04-07,,
怒潮凛冬,Zima the Raging Tide,女性,2,立绘_怒潮凛冬_2.png,https://media.prts.wiki/5/56/%E7%AB%8B%E7%BB%98_%E6%80%92%E6%BD%AE%E5%87%9B%E5%86%AC_2.png,乌萨斯学生自治团,方舟干员,6,USS0,近卫,撼地者,乌萨斯学生自治团,乌萨斯,2026-04-07,,
惊蛰,Leizi,女性,1,立绘_惊蛰_1.png,https://media.prts.wiki/9/9f/%E7%AB%8B%E7%BB%98_%E6%83%8A%E8%9B%B0_1.png,炎,方舟干员,5,YD05,术师,链术师,炎,炎,2020-02-25,,
惊蛰,Leizi,女性,2,立绘_惊蛰_2.png,https://media.prts.wiki/c/cf/%E7%AB%8B%E7%BB%98_%E6%83%8A%E8%9B%B0_2.png,炎,方舟干员,5,YD05,术师,链术师,炎,炎,2020-02-25,,
惊蛰,Leizi,女性,skin1,立绘_惊蛰_skin1.png,https://media.prts.wiki/b/b4/%E7%AB%8B%E7%BB%98_%E6%83%8A%E8%9B%B0_skin1.png,炎,方舟干员,5,YD05,术师,链术师,炎,炎,2020-02-25,成就之星,遗迹游学者
慑砂,Sesa,男性,1,立绘_慑砂_1.png,https://media.prts.wiki/0/0b/%E7%AB%8B%E7%BB%98_%E6%85%91%E7%A0%82_1.png,萨尔贡,方舟干员,5,R158,狙击,炮手,萨尔贡,萨尔贡,2020-03-17,,
慑砂,Sesa,男性,2,立绘_慑砂_2.png,https://media.prts.wiki/9/99/%E7%AB%8B%E7%BB%98_%E6%85%91%E7%A0%82_2.png,萨尔贡,方舟干员,5,R158,狙击,炮手,萨尔贡,萨尔贡,2020-03-17,,
慑砂,Sesa,男性,skin1,立绘_慑砂_skin1.png,https://media.prts.wiki/5/5e/%E7%AB%8B%E7%BB%98_%E6%85%91%E7%A0%82_skin1.png,萨尔贡,方舟干员,5,R158,狙击,炮手,萨尔贡,萨尔贡,2020-03-17,成就之星,万物有灵
慕斯,Mousse,女性,1,立绘_慕斯_1.png,https://media.prts.wiki/c/c5/%E7%AB%8B%E7%BB%98_%E6%85%95%E6%96%AF_1.png,维多利亚,方舟干员,4,VC04,近卫,术战者,维多利亚,维多利亚,2019-04-30,,
慕斯,Mousse,女性,2,立绘_慕斯_2.png,https://media.prts.wiki/d/d3/%E7%AB%8B%E7%BB%98_%E6%85%95%E6%96%AF_2.png,维多利亚,方舟干员,4,VC04,近卫,术战者,维多利亚,维多利亚,2019-04-30,,
慕斯,Mousse,女性,skin1,立绘_慕斯_skin1.png,https://media.prts.wiki/5/52/%E7%AB%8B%E7%BB%98_%E6%85%95%E6%96%AF_skin1.png,维多利亚,方舟干员,4,VC04,近卫,术战者,维多利亚,维多利亚,2019-04-30,生命之地,营地炊烟
慕斯,Mousse,女性,skin2,立绘_慕斯_skin2.png,https://media.prts.wiki/e/ea/%E7%AB%8B%E7%BB%98_%E6%85%95%E6%96%AF_skin2.png,维多利亚,方舟干员,4,VC04,近卫,术战者,维多利亚,维多利亚,2019-04-30,玛尔特,补水时间
战车,Tachanka,男性,1,立绘_战车_1.png,https://media.prts.wiki/7/7b/%E7%AB%8B%E7%BB%98_%E6%88%98%E8%BD%A6_1.png,彩虹小队,方舟干员,5,RS04,近卫,剑豪,彩虹小队,未知,2021-03-09,,
战车,Tachanka,男性,2,立绘_战车_2.png,https://media.prts.wiki/3/33/%E7%AB%8B%E7%BB%98_%E6%88%98%E8%BD%A6_2.png,彩虹小队,方舟干员,5,RS04,近卫,剑豪,彩虹小队,未知,2021-03-09,,
战车,Tachanka,男性,skin1,立绘_战车_skin1.png,https://media.prts.wiki/f/f1/%E7%AB%8B%E7%BB%98_%E6%88%98%E8%BD%A6_skin1.png,彩虹小队,方舟干员,5,RS04,近卫,剑豪,彩虹小队,未知,2021-03-09,合作款,领主
截云,Jieyun,女性,1,立绘_截云_1.png,https://media.prts.wiki/5/5b/%E7%AB%8B%E7%BB%98_%E6%88%AA%E4%BA%91_1.png,炎,方舟干员,5,YD15,狙击,炮手,炎,炎,2023-01-17,,
截云,Jieyun,女性,2,立绘_截云_2.png,https://media.prts.wiki/2/2e/%E7%AB%8B%E7%BB%98_%E6%88%AA%E4%BA%91_2.png,炎,方舟干员,5,YD15,狙击,炮手,炎,炎,2023-01-17,,
截云,Jieyun,女性,skin1,立绘_截云_skin1.png,https://media.prts.wiki/d/d3/%E7%AB%8B%E7%BB%98_%E6%88%AA%E4%BA%91_skin1.png,炎,方舟干员,5,YD15,狙击,炮手,炎,炎,2023-01-17,0011-韵系列,伴青莲
戴菲恩,Delphine,女性,1,立绘_戴菲恩_1.png,https://media.prts.wiki/b/bc/%E7%AB%8B%E7%BB%98_%E6%88%B4%E8%8F%B2%E6%81%A9_1.png,维多利亚,方舟干员,5,VC23,术师,秘术师,维多利亚,维多利亚,2023-10-08,,
戴菲恩,Delphine,女性,2,立绘_戴菲恩_2.png,https://media.prts.wiki/a/a4/%E7%AB%8B%E7%BB%98_%E6%88%B4%E8%8F%B2%E6%81%A9_2.png,维多利亚,方舟干员,5,VC23,术师,秘术师,维多利亚,维多利亚,2023-10-08,,
承曦格雷伊,Greyy the Lightningbearer,男性,1,立绘_承曦格雷伊_1.png,https://media.prts.wiki/b/b7/%E7%AB%8B%E7%BB%98_%E6%89%BF%E6%9B%A6%E6%A0%BC%E9%9B%B7%E4%BC%8A_1.png,罗德岛,方舟干员,5,RF23,狙击,投掷手,罗德岛,玻利瓦尔,2022-07-05,,
承曦格雷伊,Greyy the Lightningbearer,男性,2,立绘_承曦格雷伊_2.png,https://media.prts.wiki/0/09/%E7%AB%8B%E7%BB%98_%E6%89%BF%E6%9B%A6%E6%A0%BC%E9%9B%B7%E4%BC%8A_2.png,罗德岛,方舟干员,5,RF23,狙击,投掷手,罗德岛,玻利瓦尔,2022-07-05,,
承曦格雷伊,Greyy the Lightningbearer,男性,skin1,立绘_承曦格雷伊_skin1.png,https://media.prts.wiki/a/a0/%E7%AB%8B%E7%BB%98_%E6%89%BF%E6%9B%A6%E6%A0%BC%E9%9B%B7%E4%BC%8A_skin1.png,罗德岛,方舟干员,5,RF23,狙击,投掷手,罗德岛,玻利瓦尔,2022-07-05,冰原信使,演出后的王子
承曦格雷伊,Greyy the Lightningbearer,男性,skin2,立绘_承曦格雷伊_skin2.png,https://media.prts.wiki/e/ed/%E7%AB%8B%E7%BB%98_%E6%89%BF%E6%9B%A6%E6%A0%BC%E9%9B%B7%E4%BC%8A_skin2.png,罗德岛,方舟干员,5,RF23,狙击,投掷手,罗德岛,玻利瓦尔,2022-07-05,破格视界,生化沉溺
折光,Diamante,男性,1,立绘_折光_1.png,https://media.prts.wiki/e/e7/%E7%AB%8B%E7%BB%98_%E6%8A%98%E5%85%89_1.png,莱塔尼亚,方舟干员,5,LN21,术师,本源术师,莱塔尼亚,莱塔尼亚,2023-11-01,,
折光,Diamante,男性,2,立绘_折光_2.png,https://media.prts.wiki/c/c2/%E7%AB%8B%E7%BB%98_%E6%8A%98%E5%85%89_2.png,莱塔尼亚,方舟干员,5,LN21,术师,本源术师,莱塔尼亚,莱塔尼亚,2023-11-01,,
折光,Diamante,男性,skin1,立绘_折光_skin1.png,https://media.prts.wiki/a/a2/%E7%AB%8B%E7%BB%98_%E6%8A%98%E5%85%89_skin1.png,莱塔尼亚,方舟干员,5,LN21,术师,本源术师,莱塔尼亚,莱塔尼亚,2023-11-01,时代,斜照
折桠,Веточки,女性,1,立绘_折桠_1.png,https://media.prts.wiki/7/75/%E7%AB%8B%E7%BB%98_%E6%8A%98%E6%A1%A0_1.png,乌萨斯,方舟干员,5,US35,重装,不屈者,乌萨斯,乌萨斯,2025-10-09,,
折桠,Веточки,女性,2,立绘_折桠_2.png,https://media.prts.wiki/d/db/%E7%AB%8B%E7%BB%98_%E6%8A%98%E6%A1%A0_2.png,乌萨斯,方舟干员,5,US35,重装,不屈者,乌萨斯,乌萨斯,2025-10-09,,
拉普兰德,Lappland,女性,1,立绘_拉普兰德_1.png,https://media.prts.wiki/7/75/%E7%AB%8B%E7%BB%98_%E6%8B%89%E6%99%AE%E5%85%B0%E5%BE%B7_1.png,叙拉古,方舟干员,5,SR01,近卫,领主,叙拉古,叙拉古,2019-04-30,,
拉普兰德,Lappland,女性,2,立绘_拉普兰德_2.png,https://media.prts.wiki/f/fe/%E7%AB%8B%E7%BB%98_%E6%8B%89%E6%99%AE%E5%85%B0%E5%BE%B7_2.png,叙拉古,方舟干员,5,SR01,近卫,领主,叙拉古,叙拉古,2019-04-30,,
拉普兰德,Lappland,女性,skin1,立绘_拉普兰德_skin1.png,https://media.prts.wiki/1/11/%E7%AB%8B%E7%BB%98_%E6%8B%89%E6%99%AE%E5%85%B0%E5%BE%B7_skin1.png,叙拉古,方舟干员,5,SR01,近卫,领主,叙拉古,叙拉古,2019-04-30,斗争血脉,典雅噩兆
拜松,Bison,男性,1,立绘_拜松_1.png,https://media.prts.wiki/8/80/%E7%AB%8B%E7%BB%98_%E6%8B%9C%E6%9D%BE_1.png,炎-龙门,方舟干员,5,LM15,重装,铁卫,炎-龙门,龙门,2019-11-19,,
拜松,Bison,男性,2,立绘_拜松_2.png,https://media.prts.wiki/7/72/%E7%AB%8B%E7%BB%98_%E6%8B%9C%E6%9D%BE_2.png,炎-龙门,方舟干员,5,LM15,重装,铁卫,炎-龙门,龙门,2019-11-19,,
拜松,Bison,男性,skin1,立绘_拜松_skin1.png,https://media.prts.wiki/a/a5/%E7%AB%8B%E7%BB%98_%E6%8B%9C%E6%9D%BE_skin1.png,炎-龙门,方舟干员,5,LM15,重装,铁卫,炎-龙门,龙门,2019-11-19,0011-韵系列,凌云意
掠风,Windflit,男性,1,立绘_掠风_1.png,https://media.prts.wiki/0/05/%E7%AB%8B%E7%BB%98_%E6%8E%A0%E9%A3%8E_1.png,哥伦比亚,方舟干员,5,CB19,辅助,工匠,哥伦比亚,哥伦比亚,2022-05-01,,
掠风,Windflit,男性,2,立绘_掠风_2.png,https://media.prts.wiki/5/5d/%E7%AB%8B%E7%BB%98_%E6%8E%A0%E9%A3%8E_2.png,哥伦比亚,方舟干员,5,CB19,辅助,工匠,哥伦比亚,哥伦比亚,2022-05-01,,
推进之王,Siege,女性,1,立绘_推进之王_1.png,https://media.prts.wiki/6/6f/%E7%AB%8B%E7%BB%98_%E6%8E%A8%E8%BF%9B%E4%B9%8B%E7%8E%8B_1.png,格拉斯哥帮,方舟干员,6,GG01,先锋,尖兵,格拉斯哥帮,维多利亚,2019-04-30,,
推进之王,Siege,女性,2,立绘_推进之王_2.png,https://media.prts.wiki/d/dd/%E7%AB%8B%E7%BB%98_%E6%8E%A8%E8%BF%9B%E4%B9%8B%E7%8E%8B_2.png,格拉斯哥帮,方舟干员,6,GG01,先锋,尖兵,格拉斯哥帮,维多利亚,2019-04-30,,
推进之王,Siege,女性,skin1,立绘_推进之王_skin1.png,https://media.prts.wiki/c/c1/%E7%AB%8B%E7%BB%98_%E6%8E%A8%E8%BF%9B%E4%B9%8B%E7%8E%8B_skin1.png,格拉斯哥帮,方舟干员,6,GG01,先锋,尖兵,格拉斯哥帮,维多利亚,2019-04-30,生命之地,遗石
推进之王,Siege,女性,skin2,立绘_推进之王_skin2.png,https://media.prts.wiki/b/bd/%E7%AB%8B%E7%BB%98_%E6%8E%A8%E8%BF%9B%E4%B9%8B%E7%8E%8B_skin2.png,格拉斯哥帮,方舟干员,6,GG01,先锋,尖兵,格拉斯哥帮,维多利亚,2019-04-30,雷神推进者,摧城
提丰,Typhon,女性,1,立绘_提丰_1.png,https://media.prts.wiki/8/8e/%E7%AB%8B%E7%BB%98_%E6%8F%90%E4%B8%B0_1.png,萨米,方舟干员,6,SI07,狙击,攻城手,萨米,萨米,2023-07-06,,
