角色名,外文名,性别,立绘编号,文件名,文件链接,势力logo,出处,星级,内部编号,职业,分支,势力,出身地,上线时间,时装品牌,时装名
预备干员-近战,,男性,1,立绘_预备干员-近战_1.png,https://media.prts.wiki/6/61/%E7%AB%8B%E7%BB%98_%E9%A2%84%E5%A4%87%E5%B9%B2%E5%91%98-%E8%BF%91%E6%88%98_1.png,罗德岛,方舟特殊,,,先锋,尖兵,罗德岛,,,,
预备干员-重装,,男性,1,立绘_预备干员-重装_1.png,https://media.prts.wiki/d/d0/%E7%AB%8B%E7%BB%98_%E9%A2%84%E5%A4%87%E5%B9%B2%E5%91%98-%E9%87%8D%E8%A3%85_1.png,罗德岛,方舟特殊,,,重装,铁卫,罗德岛,,,,
塔露拉,Talulah,女性,1,Avg_char_011_talula_1.png,,整合运动,方舟特殊,,TA,,,整合运动,龙门,,,
斗士塔露拉,Talulah the Fighter,女性,1,Avg_avg_npc_078.png,,罗德岛,方舟特殊,,U17,,,整合运动,龙门,,,
爱国者,Patriot,男性,1,Avg_avg_npc_025_1.png,,整合运动,方舟特殊,,PT,,,整合运动,乌萨斯,,,
霜星,Frostnova,女性,1,Avg_char_1505_frstar_4.png,,整合运动,方舟特殊,,FN,,,整合运动,乌萨斯,,,
博士,Doctor,男性,1,Npc_doctor.png,,罗德岛,方舟特殊,,B101,,,罗德岛,???,,,
阿丽娜,Alina,女性,1,Avg_avg_npc_079.png,,整合运动,方舟特殊,,,,,整合运动,乌萨斯,,,
普瑞赛斯,Priestess,女性,1,Avg_avg_npc_083.png,,罗德岛,方舟特殊,,,,,???,???,,,
特雷西斯,Theresis,男性,1,Avg_avg_npc_062.png,,罗德岛,方舟特殊,,THE,,,萨卡兹,萨卡兹,,,
特雷西娅,Theresa,女性,1,Avg_avg_npc_056.png,,罗德岛,方舟特殊,,THA1,,,萨卡兹,萨卡兹,,,
克丽斯腾,Kristen Wright,女性,1,Avg_avg_npc_537.png,,莱茵生命,方舟特殊,,KW,,,莱茵生命,哥伦比亚,,,
管理员,Endministrator,女性,1,endministrator1.ec409283.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/endministrator1.ec409283.png,终末地工业,终末地,6,,近卫,物理,,,,,
管理员,Endministrator,男性,2,endministrator2.1ec20a16.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/endministrator2.1ec20a16.png,终末地工业,终末地,6,,近卫,物理,,,,,
佩丽卡,Perlica,女性,1,perlica.6710bc97.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/perlica.6710bc97.png,终末地工业,终末地,5,,术师,电,,,,,
陈千语,Chen Qianyu,女性,1,chen.2a091fd4.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/chen.2a091fd4.png,终末地,终末地,5,,近卫,物理,,,,,
莱万汀,Laevatain,女性,1,laevatain.d0ca2837.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/laevatain.d0ca2837.png,终末地,终末地,6,,突击,火,,,,,
伊冯,Yvonne,女性,1,yvonne.a74396e6.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/yvonne.a74396e6.png,终末地工业,终末地,6,,突击,冰,,,,,
洁尔佩塔,Gilberta,女性,1,gilberta.92aa17d4.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/gilberta.92aa17d4.png,终末地,终末地,6,,辅助,自然,,,,,
艾尔黛拉,Ardelia,女性,1,ardelia.36d836c7.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/ardelia.36d836c7.png,终末地,终末地,6,,辅助,自然,,,,,
余烬,Ember,女性,1,ember.9364370e.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/ember.9364370e.png,终末地,终末地,6,,重装,火,,,,,
别礼,Last Rite,女性,1,lastrite.4a02d8bb.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/lastrite.4a02d8bb.png,终末地,终末地,6,,突击,冰,,,,,
黎风,Lifeng,男性,1,lifeng.7253579c.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/lifeng.7253579c.png,终末地,终末地,6,,近卫,物理,,,,,
骏卫,Pogranichnik,男性,1,pogranichnik.6983f122.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/pogranichnik.6983f122.png,终末地,终末地,6,,先锋,物理,,,,,
阿列什,Alesh,男性,1,alesh.bfe6a583.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/alesh.bfe6a583.png,终末地,终末地,5,,先锋,冰,,,,,
弧光,Arclight,女性,1,arclight.e46ed671.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/arclight.e46ed671.png,终末地,终末地,5,,先锋,电,,,,,
艾维文娜,Avywenna,女性,1,avywenna.3346feee.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/avywenna.3346feee.png,终末地工业,终末地,5,,突击,电,,,,,
大潘,Da Pan,男性,1,dapan.8a1d195a.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/dapan.8a1d195a.png,终末地工业,终末地,5,,突击,物理,,,,,
昼雪,Snowshine,女性,1,snowshine.1f6d3a0e.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/snowshine.1f6d3a0e.png,终末地,终末地,5,,重装,冰,,,,,
狼卫,Wulfgard,男性,1,wulfgard.53a6686b.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/wulfgard.53a6686b.png,终末地,终末地,5,,术师,火,,,,,
赛希,Xaihi,女性,1,xaihi.43d608d9.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/xaihi.43d608d9.png,终末地,终末地,5,,辅助,冰,,,,,
秋栗,Akekuri,女性,1,akekuri.751608ae.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/akekuri.751608ae.png,终末地工业,终末地,4,,先锋,火,,,,,
安塔尔,Antal,其他,1,antal.5a3548af.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/antal.5a3548af.png,终末地,终末地,4,,辅助,电,,,,,
卡契尔,Catcher,男性,1,catcher.d4e72ab0.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/catcher.d4e72ab0.png,终末地,终末地,4,,重装,物理,,,,,
埃特拉,Estella,女性,1,estella.0c009bcd.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/estella.0c009bcd.png,终末地工业,终末地,4,,近卫,冰,,,,,
萤石,Fluorite,女性,1,fluorite.cf452cf1.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/fluorite.cf452cf1.png,终末地工业,终末地,4,,术师,自然,,,,,
汤汤,Tangtang,女性,1,tangtang.2602b587.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/tangtang.2602b587.png,终末地,终末地,6,,术师,冰,,,,,
洛茜,Rossi,女性,1,rossi.b7ae95b5.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/rossi.b7ae95b5.png,终末地,终末地,6,,近卫,物理,,,,,
庄方宜,Zhuang Fangyi,女性,1,zhuangfy.c6750f9c.png,https://web.hycdn.cn/endfield/official-v4/_next/static/media/zhuangfy.c6750f9c.png,终末地,终末地,6,,突击,电,,,,,
